content,target_type
perdana guna aplikasi ini moga dapat bantu saya dalam kerja saya di sekolah,1
luar biasa,1
happy carnaval at independent day,1
good bangetttt,1
belum nisa,1
ok,1
bagus sekali,1
saya biasa pakai canva web versi gratis hari ini kaget kok tidak bisa download nyata semua fiturnya yang belum gratis sekarang sudah bayar cuma setting ukur yang belum gratis sekarang sudah bayar padahal semua desain ada ukur saya sudah coba ganti akun juga untuk download harus bayar jadi selamat tinggal canva saya harus ganti aplikasi lain,0
aplikasi bagus sekali banyak juga template nya,1
like,1
bagus sekali kalian wajib dowload aplikasi ini,1
aplikasi yang benar benar bagus,1
bagussssd,1
bagus aplikasi,1
woee anjingg kemblikan dana saya saya tidak pernh langgan atau pakai apakah canva pro ngentott enak saja ngmbil hak oranggg,0
terkadang aplikasi nge lag terus kadang keluar masuk saran saya hanya perlu baik saja,1
sangat baik,1
tidak bisa di instal,0
bagus untuk buat poster,1
sangat bagus,1
mantap,1
ok keren sekali,1
bagus sekali,1
bagus pol,1
bagus sekali soal biasa ngebantu saya bikin desain buat kerja informatikaa nilai saya ngedesain pakai canva jadi kerenn,1
bagus,1
terima kasih,1
sangat manfaat untuk seluruh ajar dan mahasiswa,1
good job,1
sangat praktis mudah guna dan buat design sesuai ide kita,1
sangat bantu terima kasih,1
juara aplikasi paling lot,0
aplikasi sangat bagus fitur lengkap dan tidak lalot sangat bantu dalam edit foto dan video,1
iseng saja,0
nice bagus nomor blurr,1
mantap,1
bagus tidak banyak iklan,1
sangat manfaat,1
good,1
baik sangat bantu,1
ok,1
sangatttt bagus dan bantu,1
bagus,1
sangat bagus,1
bagus sekali gila seru seru seru,1
bagus,1
bagus,0
good,1
sangat muas,1
sukaaa bgtt bisa bantu kita buat tugasss,1
mantap pokok,1
mantap untuk guru,1
bagus,1
mantap,1
keren,1
sangat muas,1
bagus,1
mantap,1
aplikasi yang sangat bagus,1
bagus,1
cepat bisa kuasa desain,1
bagus bngtt apakah nya,1
mantap,1
bagus,1
baik dan bagus,1
sangat bagus saat ingin buat presentasi dan buat logo,1
jos,1
mantap,0
bagus,1
bagus sekali aplikasi nya,1
luar biasa,1
bagus bangt nih apakah tetapi masalah pas login pakai akun ajar id malah tidak bisa itu saja kurang pas sudah login malah harus update padahal sudah latest update,1
sangat sangat bagus dan manfaat,1
sangat manfaat,1
benar canva ini sangat bagus bantu tugas presentasi saya tetapi saat saya ganti akun biasa jadi akun ajar id dia tak bisa daftar saya sudah uninstal dan download lagi tetapi tetap tak bisa mengapa tak dapat akses canva tanya tanya tanya seru,1
mantap,1
top,1
keren,1
manthab,1
sangat bantu kerja jadi ringan,1
bagusss,1
bagus cocok buat logo,1
mantap,1
canva egois waktu itu ngedit jam jam di laptop pas mau di save kaga bisa yaudah deh saya nyerah saja jam cari cara buat save tuh save buat di edit ulang pun tidak bisa gatau males lagi pakai canva,0
min kenapa saya sudah jadi ppt kenapa gambar tidak muncul cuma tulis dan background warna saja tanya tanya,1
good,1
saya kasih bintang dulu yaaa,1
bagus buat mula,1
ok,1
the best,1
terima kasih canva saya dapat kado lucu gara gara kamu,1
sangat bantu,1
top,1
apa nih aplikasi eror terus pas masuk loading loading tidak jelasss padahal jaring internet lancar sudah pakai yang bayar percuma sama jelek,0
baik,1
aplikasi mantap coiii,1
baru coba,1
good,1
keren,1
wowwwwwwwwwwww,1
bagus sekali guna canva,1
good,1
sangat bantu terima kasih sudah cipta ini,1
good jobs,1
muas,1
bagus pokoke,1
istimewa,1
kurang suka soal tidak jelas,0
tidak bisa nhedit eror,0
bagus,1
mantap men,1
ok,0
baik,1
sangat bantu desain,1
mudah untuk edit,1
bagus sangat manfaat,1
suka sekali dengan app ini moga makin maju,1
entah mengapa sejak september ini canva jadi sangat lambat bahkan tidak bisa buka padahal internet sudah sangat kencang mohon segera baik,0
sangat bantu,1
aplikasi yang sangat bagus,1
bagus,1
mantap,1
wapik,1
bagus,1
kenapa saya sudah kali kali download aplikasi canva tetapi tidak bisa masuk terus ya padahal lagi butuh sekali,0
puas,1
bagus,1
lot bet kalau jaring tiba hilang tidak bisa hubung ulang,1
seru sekali,1
bagus kenapa selalu suka lot,1
sangatembantu,1
mudah desain ppt,1
baik,1
aplikasi lot sekali seru seru mau ngesave project saja susah tulis unduh tidak bisa di klik seru,0
sebener nya canva itu bagus tetapi mengapa saya edit selalu lot tanya,0
sangat baik,1
canva keren sekali dan juga bagus sekali,1
canva aplikasi edit baik turut karena untuk edit foto lebih banyak pilih dan banyak template tarik seru,1
suka,1
sangat bantu,1
bagus sekali aplikasi ini untuk edit foto,1
bagus,0
bagus sekali dan mudah,1
good application i love itu,1
isjsk,1
keren bagus sekali,1
manatap editing,1
aplikasi sangat bagus dan bantu bisa di tingkat lagi menu nya jadi lebih lengkap,1
bagus,1
fitur sini bagus sekali lebih gampang dan simpel seru,1
hmmm apa sekarang buat ukur khusus di hp yang cuma tidak bisa teken sebell,0
sering ngeleg,1
the best,1
sangat baik untuk tugas sein tugas,1
to bad,0
bagus tetapi kurang au ah bingung ngejelasin nya,1
aplikasi yang mudah untuk edit cara cepat dan hasil maksimal,1
sngat bagus saya suka sangat sama apakah ini,1
apknya bagus sangat guna untuk edit foto video buat logo buat poster dan lain lain dan sudah sedia template jadi jangan khawatir untuk yang tidak bisa buat logo poster edit foto dan video karena template nya banyak bagettt dan juga bagus terima kasihhh canvaaa,1
menyenangkn,1
sangat bagus,1
mantap canva,1
mantap sangat baik,1
keren,1
ok,1
jozzz,1
cukup senang buat saya yang belum punya alam dalam desain gambar,1
ok mantap,1
bagus dan mudah di pakai,1
sangat guna,1
ok baik,1
jren,1
mudah di paham fitur nya untuk yang baru download tidak bakal bgung,1
ini apknya mantal,1
mantap,1
masih ajar jadi belum terlalu bisa,1
muas,1
sangat bantu,1
sangat bantu sekali,1
mantap,1
baguusss bngett bisaaa buuatt perlu sekolahh,1
baik,1
aplikasi yang bagus dan user friendly bisa edit bagai macam butuh dan bisa tunjang bisnis dari hp moga fitur makin diupdate ya,1
keren asli tidak pernah kecewa,1
kontolk,0
best,1
gatau lah jangan tanya saya,1
bagus dan bantu sangat,1
aplikasi nya bagus,1
kenapa eror tidak bisa di guna,0
kenapa tidak bisa unggah font lagi di canva,0
bagus sekali buat ngedit tetapi harus beli premi dulu kalau mau tidak ada watermark aduh,1
mantappp ekspresi,1
sangat bantu bagi saya laku umkm terima kasih telah cipta aplikasi yang sangat manfaat dan mudah untuk guna bebas iklan dan up to date,1
kereenn sangat pokok,1
benar benar bantu,1
bagus,1
keren,1
keren,1
aplikasi boros data jaring harus bagus tolol tidak usah didownload ada fitur pro yang menggangu apl suka ngebug,0
saya senang dengan canva makin terbang tinggi,1
bagua,1
goog,1
butut,0
sangat bagus,1
belum bisa guna nya,1
mantap,1
mudah di guna,1
bagus sekali saya bisa desain puas love canvaa,1
bagus sangat bantu,1
tidak bisa didonwloat padahal jaring full,0
fitur sangat lengkap untuk edit foto dan yang lai dan untuk dapat fitur premium juga kita bisa akses lalu akun ajar id yang dari guru sekolah kita namun sangat lah ibu ribu sayang canva tidak perhati fitur fitur dasar dalam edit teks utama untuk tambah warna gradiasi di buah teks itu tidak bisa terus untuk efek di mens nya juga belum pas terus transfarasi untuk pudar ujung foto juga belum pas tolong adain dulu fitur fitur dasar,1
sangat asyik,1
keren,1
kren,1
ok,1
baik,1
huhuhu,1
sangat bantu,1
bagus nih,1
inibsangat bagus,1
sangat bagus,1
ok sekali,1
good,1
aplikasi terbaikkk dan favorit saya,1
bagus,1
i can t refund my purchasing seru seru seru seru,0
tarik,1
alhamdulillah mudah dalam selesai tugas dengan ada canva,1
saya kasi bintang baru mengunakan,1
sangat bantu,1
keren,1
oke,1
mantap,1
mantap,1
aplikasi yang mantap dan praktis untuk kerja cara mobile,1
very good app,1
sangat bagusssss,1
keren dan simpel panjang yang free ibadah bagi mereka yang sedang ajar terima kasih,1
mantap,1
sangat bantu untuk buat desain,1
ok,1
bagus,1
mantap,1
ke install nya lama sekali,0
bagus,1
tidak tahu cara pakai buat promosi sangat ribet,1
kenapa akun ajar saya tidak bisa masuk,0
great seru seru seru seru sangat batu sekali dalam fitur juga variasi lumayan lengkap,1
mantap,1
canva aplikasi editor gambar baik,1
bagus,1
sukaa bangets,1
bagus,1
bagus sekali buat ajar,1
baik,1
bagus manfaat,1
bikin rusak hp semua jadi lot,0
gampang pakai,1
keren,1
bagi saya canva itu bagus sekali untuk ajar di indonesia karena kalau tidak ada canva mungkin saya tidak akan buat instagram kelas yang bagus tetapi moga canva lebih cepat kembang dan banyak keluar fitur fitur baru terima kasih canva,1
app tai,0
aplikasi sangat manfaat,1
tidak cukup uang untuk bayar di gratisin boleh nggakkk seru seru seru seru,0
sangat bagus,1
sangat bagus,1
bagusss,1
kbagusss,1
good,1
nice,1
aplikasi yang sangat bantu dalam buat desain edit edit logo dan lain lain tetapi masih ada kurang yaitu bug tolongg baik terima kasih,1
nang sangat padahal tidak premium tetapi uang di dana saya ke potong ribu padahal itu uang akhir,0
bagus,1
sangat bantu,1
p tolong ya fiturnya baik dengan benar edit pacar saya hilang semua jadi ngulang dari awal lagi iya kalau hanya ini bejibun kira tidak capai apa tanya bikin habis waktu saja,0
bagus,1
bagusss,1
lmmmlmm ammmammm,0
memang mantap untuk desain,1
luar biasa,1
melieurkan,0
kenapa susah sekali sih masuk pakai akun gmail yang sudah daftar,0
top,1
apakah terlalu berat wifi saja tidak ngakat pakenih apakah pada hal buat stream bagus saja tuh jaring turut saya nih apakah jelekk,0
sangat bantu saat buat poster tugas,1
saya tidak bisa meng updet nya,1
sangat bagus,1
sangat bantu,1
canva aplikasi editor yang keren seru seru tetapi sayang canva lambat merespon saya hanya harap canva baik lagi agar lebih mudah lagi canva memang kerennn seru seru i will love canva,1
online,1
good,1
lumayan bagus,1
apakah ini sangat bagus dan membantuu,1
aplikasi ini sangat bantu kita dalam mudah editing tidak perlu repot repot lagi keren,1
keren tetapi sayang sudah login akun ajar id eh canvanya malah eror,1
lama kalau mau unduh gambar,0
goood,1
sangat guna,1
bagus,0
fiturnya sudah komplit hanya saja makin kesini jadi lot sekali bahkan hampir tidak bisa di buka padahal sinyal bagus,0
tidak bisa login kntl,0
aplikasi canva sangat bagus untuk bantu kerja saya lama ini saya sangat suka aplikasi ini,1
banyak magfaatnya,0
aplikasi ini benar bagus tetapi lag nya terlalu parah loading terlalu lama padahal saya guna untuk aplikasi lain yang lebih berat lacar lancar saja mau sampai kapan aplikasi ini masih mah loading nya lama terus dan banyak bug tanya mohon di balas developer saya ingin tahu jawab anda developer,0
bagus,1
jos,1
terima kasih banyak sekali aplikasi canva ini sangat bantu saya,1
sangat cantik kiyuuu,1
good,1
sangat bantu dalam tugas edit saya terima kasih canva,1
luar ekspektasi,0
apakah nya sangat manfaat,1
kerja bagus,1
apakah lot,0
bagus tarik,1
halo kak saya coba login tetapi terang alamat email sebut telah hubung dengan akun canva dan tidak bisa masuk itu gimana ya tanya,1
hallo developer saya ingin kata kalau kenapa saya dowload canva buat tugas sekolah tetapi loading masuk ke canva nya lama dan tidak bisa buka di hp tolong baik lagi,0
aplikasi ini bagus,1
enak kerja kita bantu,1
nge lag sekali ajg,0
tidak bisa login akun dan selalu tutup aplikasi sendiri,0
di coba dulu ya,1
bantu kuliah,1
tidak asyik,0
aplikasi nya baru di buka sudah buat saya kesal padahal jaring oke terus memori internal banyak tetapi tidak bisa di buka aplikasi selalu saja muncul tulis muat ulang,0
mantap,1
sangat bantu,1
mantapsh,1
bagus,1
aplikasi masih banyak bug banyak sekali bug landscape lah bug tidak bisa pencet apa apa lah ini aplikasi masih cacat tolong segera baik kalau tidak lama lama ini aplikasi jadi aplikasi sampah dan saya pas ngedit padahal saya cuma nempelin foto tetapi harus bayar dasar apakah mata duit,0
sangat bantu ajar pancasila di waktu seperti ini yang hari hari di beri tugas untuk buat ppt dan presentasi ssmoga fitur fitur canva ke depan makin canggih,1
keren sangat pliss bisa buat design bajuu design posterr dan lainlainn,1
baguss,1
saya kenapa ya tidak bisa masuk pakai saya ajar padahal belum saya update sudah bisa tetapi kok sekarang ada tulis canva alami masalah teknis ini benar kenapa plisss saya butuh buat ajar,1
aplikasi nya bagus buat ngedit maupun buat tamplet buat cv,1
bagus sangat,1
good job,1
bantu bagt,1
lot,0
baik,1
sangat baguss gampang erti untuk desain mula sepertikuuu rekomend dehh pokok,1
ngebantu bangetttttt,1
good apakah,1
sangat bagus,1
sangt bagus,1
tolong yaaa min saya dari tadi sudah hampir jam tunggu loading buat premium tidak bisa padahal singal saya bagusss tidak macet tolong baik segera saya tunggu respon kalian,0
jauh ini cukup baik,1
aplikasi ini bantu sekali dalam bidang sekolah juga,1
ok,1
edit yang bagus sekali,1
keren,1
aa lucu saya suka,1
bagus,1
aplikasi sangat bagus untuk editvideo dan foto juga lagu,1
sangat bantu,1
lumayan untuk mula,1
sangat puasss,1
mantul,1
good,1
saya sangat suka sekali,1
aplikasi jalan sangat lambat,0
canva ini bagus untuk apa dan lengkap lagi,1
baik lagi,1
sangat bangus,1
ketika di download selalu loadingnya luama sangat tetap tidak bisa,0
canva ini sangat bagus dan semua gambar sangat aestetic,1
sukses,1
canva luar biasa great,1
untuk fitur rubah size kok hilang dan makin susah lot enak yang dulu smooth fitur biasa hanya oke,0
good as hell,1
nugas bro jangan males,1
sang at bai ke,1
error tidak bisa buka,0
bagus,1
mantap selalu andal,1
terbaikkkk seru seru seru seru seru seru,1
bagus sekali,1
sangat bagus cocok untuk edit,1
good,1
baik,1
sangat bantu dalam desain konten entah itu untuk business maupun untuk penting pribadi upa foto video atau dua makin banyak pilih desain yang tarik dengan warna warna yang elegan dengan canva buat promosi jual makin eye catching tidak hanya itu kita juga bisa bikin daftar bagan tabel juga quote quote yang relevan dengan hidup tinggal pilih desain mana yang ingin pakai untuk konten kamu juga quote mana yang relate dengan ada kamu,1
mantap,1
oke mantap,1
sangat bantu,1
terima kasih canva buat segala sesuatu jadi mudah,1
great,1
bagus,1
guud,1
ngune,1
akhir dapat aplikasi yang tidak bikin pusing kalau lagi ada tugas presentasi sini template nya banyak sangat yang tarik,1
bagus sekali,1
alhamdulillah sudah dibenerin sama mimin nya terima kasih ya minnn,1
sangat bagus untuk edit foto danembuat logo,1
sangat bantu,1
banyak yang tidak bisa di buka karena pro,1
saya suka sama desain nya bagus bagus semua tetapi harus bayar,1
tidak beguna,0
aplikasi sangar keren,1
bagus sekali aplikasi nya sangat mmbantu,1
mantab,1
bagus,1
keren amazing,1
bagus,1
is the best untuk mula,1
aplikasi yang sangat bagus banyak fitur nya dan sangat mudah di guna,1
sangat bantu untuk ajar,1
siapa saja bisa jadi desainer grafis,1
kuontolllll,0
aplikasi nya bagusss,1
istimewa hasil,1
keren,1
bagus guna sekali buat ajar,1
bagus si wirr,1
aplikasi sangat baik,1
jos,1
sagat bermanfat,1
sangat cocok bagi anak muda,1
puass baguss bangettt seru seru seru tidak kecewa sama sekaliii,1
aplikasi mudah di guna dalam hal edit dan sangat bantu sekali,1
nice spk,1
tidak bisa download file padahal bukan premium,0
bagus,1
bagus,1
tidak suka saja,0
bagus cedde,0
untu fitur ai tingkat lagi dari segi fitur sudah bagus,1
gj jing kaga bisa log pakai google sekolah,0
aplikasi sangat bantu,1
lelet sangat versi mobilenyaa,0
mantap men tidak usah download sudah ada di google gratis cokk,1
bad,0
sangat lama waktu yang di perlu untuk simpan satu foto mohon segera di baik,1
cara simpan file terlalu sulit,0
oh,1
nice,1
alhamdulillah lama ini sangat bantu dan aplikasi nya mudah di aplikasi kan,1
keren dan mudah,1
bagus,1
wow luar biasa sekali bantu umkm untuk promosi good luck canva,1
bagus dan bermanfaatl,1
good,1
aplikasi lot,0
kenapa tidak bisa terus login yaa tiap mau login malah selalu masuk ke browser padahal butuh sekali aplikasi buat bikin tugas ppt,0
mantaaap,1
kacauuuuu dulu pertama bagus sekarang hadeuhhhhhh hasil edit video tidak bisa di unduh sudah nunggu jam,0
mantap bebas kreasi,1
sangat mudah kerja saya,1
apakah mantap dan ringan untuk pakai,1
baik,1
sippp,1
ok,1
keren sekali,1
bagus sekali,1
mantap betulll,1
goodddd,1
aplikasi nya keren bngett,1
nice,1
jadi kreasi lebih semi,1
ok,1
bagus,1
mantap,1
bagus tetapi belum erti benar,1
hel my jobs very good,1
emezing,1
nice apakah,1
kasih dulu soal lum paham enak di aplikasi youcat,0
makin lot saja,0
bagus bagus seru seru sangat sangat bantu sekali,1
sangat baik bagus dan kereatif,0
benar sudah bagus fitur dan lain lain nya sudah bagus tetapi kenapa kendalamya selalu di jaring ya tanya padahal koneksi bagus ram cukup banyak aplikasi sudah di tutup paksa dan muat ulang tetapi tetap saja seperti itu bahkan aplikasi yang tidak si guna pun sudah hapus tetap saja begitu tolong di benar ya bug nya terima kasih,1
puas bagus sangat,1
good style,1
baik sekali,1
sumpah lot sangat canva sekarang,0
aplikasi sangat lot buang waktu tunggu gambar buka padahal jaring bagus memori banyak baru saja di baru kecewa sama canva padahal dulu masih oke tetapi sekarang malah makin lot,0
bagus,1
aplikasi canva sangat bantu sekali walau saya agak bingung,1
lopeeeeee,1
good apl,1
aplikasi ini sangat bagus saya sangat suka,1
mantap jiwa,1
kartu keluarga tolong dong di apdet yang bisa di hapus kartu keluarga saya salah pencet terus itu juga saya jadi yesel dan saya hapus tetap masih ada,0
mantap keren,1
bagus mantap,1
canvany makin lama makin aneh masa unduh vidionyg sudah di edit tidak bisa bisa padahal saya sudah hapus semua apakah yang berat tetap tidak bisa sampai hari nunggu loading nya lama ngebug juga tidak jelas sumpah,1
sangat keren bantu sekali,1
bagus,1
luarbiasa,1
bagus tetapi lama kali ngunduh ya,1
aplikasi nya baguss saya suoa sekali,1
keren sempurna,1
ajibb,1
tidak bisa pakai canva pro,1
manfaat,0
kadang lot malesin,1
bagus sekali aplikasi nya,1
aplikasi sangat batu dalam edit,1
puas sangat sama hasil,1
dapat bantu,1
ribet susah,0
sangat bantu,1
cukup baik,1
sangat bermutuh bagi kerja yang buat cv,1
ggmu,1
tampil makin buruk untuk hp,0
kalau sudah tahu algoritma guna pasti langsung di bikin pro bahan element nya,0
edit design logo jadi lebih mudah dengan agam fitur yang tarik mudah kerja tentu,1
keren dan bagus,1
top,1
sedang usaha untuk jadi baik,1
jos,1
aplikasi nya bagus bangettttttt,1
sinyal padahal bagus hanya gagal gagal terus bikin emosi,0
keren,1
terima kasih sangat bantu,1
baik,1
baguss,1
burem,0
sangat bagus,1
bagus,1
sangat bantu untuk kita,1
aplikasi the best,1
oke mantap lah pakai canva ini mudah desain,1
enak saja bisa ngedit bantu orangtua buat lebel keripik bagusss,1
sangat bantu,1
lucu,1
canva adalah aplikasi editing yang sangat bagus untuk mula karena banyak sedia tamplate sehingga mudah untuk guna aplikasi yang masih belum kuasa editing,1
kerenn aplikasi tidak kecewa dan tidak kalah saing dengan aplikasi lain,1
aplikasi sangat bagus dan mudah guna dan fitur fiturnya juga lengkap,1
n wa inna nama j,1
bagus,1
uhtpyottpttp,1
mantapp,1
mantap,1
sangat bantu,1
keren,1
bagusss syekaliiii,1
tidak bisa buka habis login fakk,0
baik,1
mntappp,1
oke,1
sangat bantu saat susah ajar,1
mantap,1
baguuss,1
aplikasi ya sangat bagus,1
i t mau n n,1
sangat bagus,1
bagus,1
sangat buruk sekali untuk di guna di hp ada masalah jaring bug ngelag juga suka keluar masuk terus yang download pasti sesal,0
gg buat gambar postur iklan dan lain lain dalam kerja tugas sekolah btw saya masih smp,1
cukup bantu,1
baik,1
luar biasa,1
lumayan,1
bagus,1
sangat baik terima kasih canva,1
canva ini begitu bagus sekali tetapi jangan ngeleg lagi dong canva jadi hasil agak jelek sama kata adekku seru sekali kak terima kasih y canva,1
sangatt membantuuu,1
sangat baikk,1
saya butuh bantu kait bayar langgan yang gagal harus hubung ke mana tanya,1
bagusss bgettt,1
sangat baik,1
ok,1
maaf tidak bisa kasih lebih soalny tidak bisa di dowload,0
very good,1
bagus tetapi masih ngebug,1
sangat bagus untuk edit,1
bagus,1
bagus,1
semua ada sini cocok untuk promosi jual,1
bagus sekali,1
mending,1
kenapa tidak bisa buka aplikasi canva di handphone tulis error kenapa ya padahal email sudah masuk,1
font nya tidak ada yang biasa saja masa tulis bawah tulis padahal cuma malah beban,0
top,1
ok,1
bagus,1
canva aplikasi edit baik,1
aplikasi ini bantu editing video dengan mudah,1
mantap,1
top,1
bagus saja,1
ck anj,0
good,1
oke,1
silmi dhiya ulhaq,1
sukak sekali,1
bagus,1
canva nomor,1
mantap bro,1
terima kasih,1
gampang buat desain apa pokok ajar wajib sekali pakai apakah ini,1
ok,1
canva mirip nya baik sekali sama saya saya ricxquees yang rendah tetapi pas saya liat hasil lumayan,1
kereen,1
terima kasih sudah saya install dan bagus untuk buat banner stiker dan lain lain,1
data pribadi bisa bocor ke darkweb tanya,1
amazing,1
i love this app,1
baru coba pakai canva,1
oke lah,1
keren,1
abdul qodir,1
bagus,1
yah,0
sangat guna untuk bagai presentasi paling keren dan baik untuk mula,1
luar biasa,1
maaf susah sekali saya pakai aplikasi ini saya tidak ngerti,0
bagus kali,1
sangat bantu,1
sangat bantu sekali,1
good,1
bagus,1
okk untuk buat ppt poster,1
kenapa pilih ukur centimeter tidak bisa di tekan tanya,0
aplikasi yang sangat guna,1
bagus,1
oke,1
mantab,1
aplikasi sudah bagus telah update malah bug masalah jaring gagal masuk aplikasi karena jaring padahal sinyal hp bagus pakai wifi juga sama saja tolong segera baik,0
lumayan untuk ajar,1
sangat b,1
wis keren teko,0
sangat mudah di guna,1
terima kasih canva,1
elemen lebih banyak,1
mudah kerja,1
bintang yang bicara,1
saya harap canva bisa tambah fitur folder pada project design yang simpan agar lebih rapi dalam klasifikasi project yang sudah kerja,1
nice,1
bngst banyak update fitur nya makin ribet dan juga sangat lot ketika ada di beranda terlalu banyak bug yang menganggu buat jaring tidak stabil ketika sedang di dalam beranda segera baik tolol jangan hanya banyak update terus tetapi nyusahin para user blok,0
sangat bantu sekali aplikasi,1
sangat bagua,1
keren,1
bagus,1
lumayan bagus tetapi agak lag sedikit,1
cara mudah buat bagai macam desain tanpa harus download bagai apakah beda,1
good,1
kren,1
ka saya mau tanya waktu tambah foto ko tidak bisa bagaimana cara,0
nice,1
bagus,1
bagus sekali apakah ini saya suka,1
aplikasi nya bagus tetapi kenapa harus bayar saya nya tidak ada uang,1
nyaman sangat bantu,1
bagus,1
kren,1
kokol,1
makin keren top,1
bagus,1
canva baik,1
mantap bagus sekali,1
kece,1
bagus,1
v v,1
best apakah,1
bagus karena bisa di pakai untuk edit,1
kenapa buka nya selalu muat ulang terus,0
easy and simple to operate,1
bagus sekali dan juga simpel,1
bagus dan kualitas,1
bagus,1
baguss,1
bisa tahu hikmah ajar dari canva,1
isi dan lengkap fitur nya sudah bagus design nya pun agam hanya saja lambat sekali terlalu uras energi sampai emosi saya ledak karena bug yang lama tolong lah cepat baik jaring di kita sudah bagus untuk buka app lain,1
mantap,1
boleh,1
babi jelek hampir semua vip harus bayar apa lagi lot pada ada sinyal bagus huuu jelek,0
apknya sih baguss tetapi saya pakai hp ram tetappp lemottttttt apknya jaring bagus padahal sumpahhhh apakah bikin stresss mau ngedit malah emosi,0
sangat muas dalam edit video,1
keren,1
dengan canva saya dapat buat jadwal ajar,0
ok,1
bagus,0
canva sekarang kenapa ya tanya tanya tanya kok makin lelet tanya padahal jaring tidak ngelag sama sekali tetapi lot sekali padahal tugas masih numpukk tolong dong canva baik lagi agar tidak lot,1
bagus tetapi kenapa ada hitam yang pro ya tanya itu buat apa tanya,1
saya suka sangat sama aplikasi nya cocok buat saya jual,1
mantap sangat bantu,1
luar biasa,1
guna bangettt,1
bagus sekali aplikasi ini,1
suka,1
sangat bantu,1
bagus sekali,1
bug,0
cakap,1
sangat guna untuk tugas ajar,1
bagus dan cocok untuk simpan yang kurang cukup,1
sangat baguss,1
bagus buat ngedit cuma tolong sangat canva pro nya kurangkn,1
keren,1
gut,1
bagus sekali,1
mantapsss,1
mantap,1
sangat bantu untuk bikin ppt,1
bagus,1
god apakah editor,1
bagus sekali kayakada karakter kalau mau bikin logo,1
bagus sangat bantu,1
bagus bisa guna untuk penting osis,1
aplikasi nya bagus sekali tetapi tolong di baik lagi yh saya kasih bintang karena fitur nya lumayan lah yah bagus tetapi dengan tolong di baik bug nya ok segitu saja sekian terima kasih,1
aplikasi susah untuk edit lot lola buat buka dokumen susah minta ampun loading terus padahal saya itu tidak pakai data pakenya wifi di rumah tetapi tetap saja lola lot saran deh baik tolong nyusahin sekali kalau kaya gin buat saya ajar yang sering ada tugas dari sekolah mohon tolong baik,0
aplikasi ini sangat keren,1
apakah nya bagus keren pol mantul tetapi saat guna untuk edit apakah nya jadi lot,1
pakai nya agak susah untuk mula,1
nice,1
terima kasih aplikasi moga manfaat n mohon untuk di baik lagi karena aplikasi sangat lamban selalu di muat ulang saat login,1
kerenaih,1
moga selalu sehat sukses buat canva,1
luar biasa,1
bagus mudah di guna,1
baik,1
bagus sekali karena bisa edit jadwal piket di sekolah,1
good buanget,1
terima kasih,1
keren,1
apakah nya bagus,1
aplikasi rusak sinyal bagus buffering terus,0
jos,1
coba dulu,1
suka,1
sumpahhhhhh keren bgttt apalagi ada tambah ai gambar itu sumpah terima kasih sangat lohhh ada fitur ai gambarrrrr,1
aplikasi yang sangat bantu untuk edit pamflet ppt dan bagai banyak tamplate yang tarik,1
sangat bantu,1
bagus,1
sangat bantu saya dalam buat poster brosur dan lain terima kasih telah buat aplikasi yang sangat manfaat,1
luar biasa,1
sangat tarik,1
ini kenapa saya tidak bisa login guna akun ajar kok keluar terus dari apakah,0
very good,1
bagus,1
bagus sekali,1
sangat tarik dan bantu,1
apakah yang bagus untuk ngedit foto dan buat serifikat dan jenis,1
mantul,1
very good,1
bgis skli,1
bagus hanya yang kurang tidak bisa bikin rangkum materi materi,1
greattt,1
bagusss,1
aplikasi yang sangat bagus,1
good,1
keren sekali,1
saya akan ikan bintang jika muas,1
apakah error tidak guna tiap mau masuk muat ulang padahal wifi pakai tidak ganiat bikin apakah,0
sangat bagus sekali,1
canva memang luar biasa dan bisa andal,1
wifi dan kuota lancar tetapi tetap saja lot,0
tolong baik lagi agar aplikasi nya tambah bagus,0
canvaa kamu tidak ada niat kasi saya premium gratis kahh t t mau buat struktur kelas tetapi canva tidak premiumm love you canvaa,1
thank you,1
luar biasaa seru seru,1
sangat bergunaaa,1
aplikasi yang sangat bantu selagi peraktis,1
sangat bantu kami untuk buat lengkap persentasi,1
belum pernah coba bercyandaaa bercyanda bagus kok,1
sangat bantu jadi erti guna amplikasi ini,1
apknya bagus saya suka dan hasil juga bagus tidak ada kurang,1
kerenn cuyy apakah nyaa guna sangat buat bikin struktur begituu anjaaaayyyy,1
bagus,1
terima kasih viedeo saya jadi lebih tarik tetapi masih bingung karena gambar dalam video potong jadi gambar tidak full,1
aplikasi bagus tetapi banyak desain yang pro kalau di donlod susah terus pas mau donlod waktu donlod yang desain video itu susah lama sekali mnguras waktu sekali moga cepat di baik ya agak guna tidak bosan saat mngunduh desain dari canva dan tolonv untuk lebih cepat lagi dalam login ulang atau eaktu siap desain,0
very good,1
sangat bantu buat kerja hari hari bagai desainer mula pokok best,1
baru di coba mudah n bagus,1
keren,1
sangat manfaat bagi saya,1
pokok mantap,1
so far canva is my favorite application,1
ok,1
canva sangat bantu saya untuk desain apa lemah audio dari video yang saya punya tidak bisa masuk ke video yang saya buat jika sudah ada update baru dan bagus saya akan kasih canva bintang,1
buat canva tolong baik fitur sesuai nya di kolom latar belakang nya terlalu bawah deket dengan navigasi handphone kami jadi sulit untuk ngedit nya terima kasih,1
sangat manfaat sekali,1
sangat bantu sekali,1
